name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1231;0;1231;3161;2084;3161;2061;0
header;38;166;38;204;2141;204;2141;166
A;1248;226;1248;249;1264;249;1264;226
A;1327;244;1327;247;1331;247;1331;244
A;1400;363;1400;387;1409;387;1409;363
A;1782;372;1782;376;1787;376;1787;372
A;1980;419;1980;423;1987;423;1987;419
A;2060;692;2060;698;2066;698;2066;692
A;1967;784;1967;789;1972;789;1972;784
A;1966;821;1966;845;1979;845;1979;821
B;1252;887;1252;913;1271;913;1271;887
A;1842;923;1842;928;1846;928;1846;923
A;1374;1097;1374;1121;1392;1121;1392;1097
A;1410;1143;1410;1167;1421;1167;1421;1143
A;1674;1208;1674;1212;1678;1212;1678;1208
A;1404;1289;1404;1294;1410;1294;1410;1289
A;1378;1471;1378;1476;1384;1476;1384;1471
A;1751;1483;1751;1493;1757;1493;1757;1483
C;1245;1549;1245;1579;1267;1579;1267;1549
A;1575;1609;1575;1614;1580;1614;1580;1609
A;1369;1844;1369;1850;1375;1850;1375;1844
D;1248;2216;1248;2243;1270;2243;1270;2216
A;2060;2332;2060;2336;2070;2336;2070;2332
A;1763;2334;1763;2338;1770;2338;1770;2334
D;2026;2505;2026;2531;2071;2531;2071;2505
A;1800;2605;1800;2609;1806;2609;1806;2605
A;1604;2606;1604;2612;1610;2612;1610;2606
B;1290;2743;1290;2760;1303;2760;1303;2743
D;1277;2814;1277;2827;1288;2827;1288;2814
D;1759;2837;1759;2863;1783;2863;1783;2837
