name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;660;0;993;3161;1471;3161;1281;0
header;247;183;247;226;1873;226;1873;183
A;1050;239;1050;268;1073;268;1073;239
B;1059;905;1059;932;1076;932;1076;905
A;948;1053;948;1053;948;1053;948;1053
A;1319;1351;1319;1357;1324;1357;1324;1351
C;1063;1575;1063;1603;1084;1603;1084;1575
A;895;1805;895;1823;909;1823;909;1805
A;1045;1858;1045;1864;1051;1864;1051;1858
C;969;2126;969;2144;983;2144;983;2126
D;1072;2259;1072;2287;1093;2287;1093;2259
B;1047;2629;1047;2646;1060;2646;1060;2629
A;1057;2682;1057;2686;1063;2686;1063;2682
